Xact CAT, Xact Category Name,Xact SEL,Xact Description,Xact Unit,Xact Activity
WTR,Water Extraction & remediation,INSA,Tear out and bag wet insulation - after hours,SF,-
WTR,Water Extraction & remediation,INSSA,Tear out and bag wet insulation - Category 3 - after hours,SF,-
WTR,Water Extraction & remediation,INSS,Tear out and bag wet insulation - Category 3 water,SF,-
WTR,Water Extraction & remediation,INSC,Tear out and bag wet insulation in confined space,SF,-
WTR,Water Extraction & remediation,INSCS,Tear out and bag wet insulation in confined space - Cat 3,SF,-
WTR,Water Extraction & remediation,INSCA,Tear out and bag wet insulation in confined space- aft hrs,SF,-
WTR,Water Extraction & remediation,INSWLSA,"Tear out and bag wet insulation, LF - 2' Cat 3 - after hrs",LF,-
WTR,Water Extraction & remediation,INSW4SA,"Tear out and bag wet insulation, LF - 4' Cat 3 after hours",LF,-
WTR,Water Extraction & remediation,INSWLFA,"Tear out and bag wet insulation, per LF - 2' - after hours",LF,-
WTR,Water Extraction & remediation,INSWLS,"Tear out and bag wet insulation, per LF - 2' - Cat 3",LF,-
WTR,Water Extraction & remediation,INSW4A,"Tear out and bag wet insulation, per LF - 4' - after hours",LF,-
WTR,Water Extraction & remediation,INSW4S,"Tear out and bag wet insulation, per LF - 4' - Cat 3",LF,-
WTR,Water Extraction & remediation,INSWLF,"Tear out and bag wet insulation, per LF - to 2' tall",LF,-
WTR,Water Extraction & remediation,INSW4,"Tear out and bag wet insulation, per LF - to 4' tall",LF,-
WTR,Water Extraction & remediation,BASE,Tear out baseboard,LF,-
WTR,Water Extraction & remediation,BASEA,Tear out baseboard - after hours,LF,-
WTR,Water Extraction & remediation,BASEBA,Tear out baseboard and bag for disp. - up to Cat 3 aft hrs,LF,-
WTR,Water Extraction & remediation,BASEB,Tear out baseboard and bag for disposal - up to Cat 3,LF,-
WTR,Water Extraction & remediation,CABFH,Tear out cabinetry - full height unit,LF,-
WTR,Water Extraction & remediation,CABFHA,Tear out cabinetry - full height unit - after hours,LF,-
WTR,Water Extraction & remediation,CABLOW,Tear out cabinetry - lower (base) units,LF,-
WTR,Water Extraction & remediation,CABLOWA,Tear out cabinetry - lower (base) units - after hours,LF,-
WTR,Water Extraction & remediation,CABUP,Tear out cabinetry - upper (wall) units,LF,-
WTR,Water Extraction & remediation,CABUPA,Tear out cabinetry - upper (wall) units - after hours,LF,-
WTR,Water Extraction & remediation,CABVAN,Tear out cabinetry - vanity,LF,-
WTR,Water Extraction & remediation,CABVANA,Tear out cabinetry - vanity - after hours,LF,-
WTR,Water Extraction & remediation,CABVNC,Tear out cabinetry - vanity and countertop,LF,-
WTR,Water Extraction & remediation,CABVNCA,Tear out cabinetry - vanity and countertop - after hours,LF,-
WTR,Water Extraction & remediation,CTFLA,Tear out countertop - flat laid plastic lam. - after hours,LF,-
WTR,Water Extraction & remediation,CTFL,Tear out countertop - flat laid plastic laminate,LF,-
WTR,Water Extraction & remediation,CTPFA,Tear out countertop - post formed plastic lam. - after hrs,LF,-
WTR,Water Extraction & remediation,CTPF,Tear out countertop - post formed plastic laminate,LF,-
WTR,Water Extraction & remediation,CTSS,Tear out countertop - solid surface/granite,SF,-
WTR,Water Extraction & remediation,CTSSA,Tear out countertop - solid surface/granite - after hours,SF,-
WTR,Water Extraction & remediation,CTDKS,Tear out countertop subdeck & bag - Cat 3 water,SF,-
WTR,Water Extraction & remediation,CTDKSA,Tear out countertop subdeck & bag - Cat 3 water - aft. hrs,SF,-
WTR,Water Extraction & remediation,CTDK,Tear out countertop subdeck & bag for disposal,SF,-
WTR,Water Extraction & remediation,CTDKA,Tear out countertop subdeck & bag for disposal - after hrs,SF,-
WTR,Water Extraction & remediation,CTDKSN,"Tear out countertop subdeck, no bag - Cat 3 water",SF,-
WTR,Water Extraction & remediation,CTDKSNA,"Tear out countertop subdeck, no bag - Cat 3 water- aft hrs",SF,-
WTR,Water Extraction & remediation,CTDKN,"Tear out countertop subdeck, no bagging",SF,-
WTR,Water Extraction & remediation,CTDKNA,"Tear out countertop subdeck, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,CBBA,Tear out cove base and bag for disp. - up to Cat 3 aft hrs,LF,-
WTR,Water Extraction & remediation,CB,Tear out cove base molding,LF,-
WTR,Water Extraction & remediation,CBA,Tear out cove base molding - after hours,LF,-
WTR,Water Extraction & remediation,CBB,Tear out cove base molding and bag for disp. - up to Cat 3,LF,-
WTR,Water Extraction & remediation,FCWLA,Tear out non-salv floating floor & bag - after hrs,SF,-
WTR,Water Extraction & remediation,FCWLS,Tear out non-salv floating floor & bag - Category 3 water,SF,-
WTR,Water Extraction & remediation,FCWL,Tear out non-salv floating floor & bag for disposal,SF,-
WTR,Water Extraction & remediation,FCWLSA,Tear out non-salv floating floor & bag- Cat 3 wtr-aft hrs,SF,-
WTR,Water Extraction & remediation,FCWLSNA,"Tear out non-salv floating floor, no bag - Cat 3 -aft hrs",SF,-
WTR,Water Extraction & remediation,FCWLN,"Tear out non-salv floating floor, no bagging",SF,-
WTR,Water Extraction & remediation,FCWLNA,"Tear out non-salv floating floor, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,FCWLSN,"Tear out non-salv floating floor, no bagging - Category 3",SF,-
WTR,Water Extraction & remediation,FCWA,Tear out non-salv solid/eng. wood flr & bag - after hrs,SF,-
WTR,Water Extraction & remediation,FCW,Tear out non-salv solid/eng. wood flr & bag for disposal,SF,-
WTR,Water Extraction & remediation,ULAYA,Tear out non-salv underlayment & bag - after hours,SF,-
WTR,Water Extraction & remediation,ULAYSA,Tear out non-salv underlayment & bag - Cat 3 wtr - aft.hrs,SF,-
WTR,Water Extraction & remediation,ULAYS,Tear out non-salv underlayment & bag - Category 3 water,SF,-
WTR,Water Extraction & remediation,ULAY,Tear out non-salv underlayment & bag for disposal,SF,-
WTR,Water Extraction & remediation,ULAYN,"Tear out non-salv underlayment, no bagging",SF,-
WTR,Water Extraction & remediation,ULAYNA,"Tear out non-salv underlayment, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,ULAYSNA,"Tear out non-salv underlayment, no bagging - Cat 3 - a/hrs",SF,-
WTR,Water Extraction & remediation,ULAYSN,"Tear out non-salv underlayment, no bagging - Category 3",SF,-
WTR,Water Extraction & remediation,FCVLA,"Tear out non-salv vinyl, cut & bag - add'l layer after hrs",SF,-
WTR,Water Extraction & remediation,FCVL,"Tear out non-salv vinyl, cut & bag - additional layer",SF,-
WTR,Water Extraction & remediation,FCVSLA,"Tear out non-salv vinyl, cut & bag - Cat 3 add'l lyr a/hrs",SF,-
WTR,Water Extraction & remediation,FCVSA,"Tear out non-salv vinyl, cut & bag - Cat 3 water-after hrs",SF,-
WTR,Water Extraction & remediation,FCVSL,"Tear out non-salv vinyl, cut & bag - Cat 3 wtr - add'l lyr",SF,-
WTR,Water Extraction & remediation,FCVS,"Tear out non-salv vinyl, cut & bag - Category 3 water",SF,-
WTR,Water Extraction & remediation,FCVSNA,"Tear out non-salv vinyl, no bagging - Cat 3 water-aft. hrs",SF,-
WTR,Water Extraction & remediation,FCVSN,"Tear out non-salv vinyl, no bagging - Category 3 water",SF,-
WTR,Water Extraction & remediation,FCWSA,Tear out non-salv wood floor & bag - Cat 3 water - aft hrs,SF,-
WTR,Water Extraction & remediation,FCWS,Tear out non-salv wood floor & bag - Category 3 water,SF,-
WTR,Water Extraction & remediation,FCWSNA,"Tear out non-salv wood floor, no bag - Cat 3 - aft. hrs",SF,-
WTR,Water Extraction & remediation,FCWSN,"Tear out non-salv wood floor, no bagging - Category 3",SF,-
WTR,Water Extraction & remediation,BCSA,Tear out non-salv. cement board & bag - Cat 3 wtr- aft hrs,SF,-
WTR,Water Extraction & remediation,BCA,Tear out non-salv. cement board & bag for disposal-aft hrs,SF,-
WTR,Water Extraction & remediation,BCSNA,"Tear out non-salv. cement board, no bag - Cat 3- after hrs",SF,-
WTR,Water Extraction & remediation,FCWN,"Tear out non-salv. solid/eng. wood flooring, no bagging",SF,-
WTR,Water Extraction & remediation,FCWNA,"Tear out non-salv. solid/eng. wood flr, no bag - after hrs",SF,-
WTR,Water Extraction & remediation,TILSA,Tear out non-salv. tile & bag - Cat 3 water - after hours,SF,-
WTR,Water Extraction & remediation,TILS,Tear out non-salv. tile & bag - Category 3 water,SF,-
WTR,Water Extraction & remediation,TIL,Tear out non-salv. tile & bag for disposal,SF,-
WTR,Water Extraction & remediation,TILA,Tear out non-salv. tile & bag for disposal - after hours,SF,-
WTR,Water Extraction & remediation,CTTLS,Tear out non-salv. tile countertop & bag - Cat 3 water,SF,-
WTR,Water Extraction & remediation,CTTLA,Tear out non-salv. tile countertop & bag for disp- aft hrs,SF,-
WTR,Water Extraction & remediation,CTTL,Tear out non-salv. tile countertop & bag for disposal,SF,-
WTR,Water Extraction & remediation,CTTLSA,Tear out non-salv. tile countertop & bag-Cat 3 wtr-aft hrs,SF,-
WTR,Water Extraction & remediation,CTTLSN,"Tear out non-salv. tile countertop, no bag - Cat 3 water",SF,-
WTR,Water Extraction & remediation,CTTLSNA,"Tear out non-salv. tile countertop, no bag- Cat 3- aft hrs",SF,-
WTR,Water Extraction & remediation,CTTLNA,"Tear out non-salv. tile countertop, no bagging - aft hrs",SF,-
WTR,Water Extraction & remediation,FCTSA,Tear out non-salv. tile floor & bag - Cat 3 water-aft hrs,SF,-
WTR,Water Extraction & remediation,FCTA,Tear out non-salv. tile floor & bag for disposal after hrs,SF,-
WTR,Water Extraction & remediation,FCTSNA,"Tear out non-salv. tile floor, no bagging - Cat 3- aft hrs",SF,-
WTR,Water Extraction & remediation,TILNA,"Tear out non-salv. tile, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,TILSNA,"Tear out non-salv. tile, no bagging - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,TILSN,"Tear out non-salv. tile, no bagging - Category 3 water",SF,-
WTR,Water Extraction & remediation,FCVUV,"Tear out non-salv. vinyl & underlay, cut & bag for disp.",SF,-
WTR,Water Extraction & remediation,FCVUVNA,"Tear out non-salv. vinyl & underlay, cut, no bag-after hrs",SF,-
WTR,Water Extraction & remediation,FCVUVN,"Tear out non-salv. vinyl & underlay, cut, no bagging",SF,-
WTR,Water Extraction & remediation,FCVTA,"Tear out non-salv. vinyl tile, cut & bag for disp. Aft hrs",SF,-
WTR,Water Extraction & remediation,FCVTS,"Tear out non-salv. vinyl tile, cut & bag for disp. Cat 3",SF,-
WTR,Water Extraction & remediation,FCVTSA,"Tear out non-salv. vinyl tile, cut & bag- Cat 3 - aft. hrs",SF,-
WTR,Water Extraction & remediation,FCVTSNA,"Tear out non-salv. vinyl tile, no bag - Cat 3 - aft. hrs",SF,-
WTR,Water Extraction & remediation,FCVTSN,"Tear out non-salv. vinyl tile, no bagging - Cat 3",SF,-
WTR,Water Extraction & remediation,BCS,Tear out non-salvageable cement board & bag - Cat 3 water,SF,-
WTR,Water Extraction & remediation,BC,Tear out non-salvageable cement board & bag for disposal,SF,-
WTR,Water Extraction & remediation,BCNA,"Tear out non-salvageable cement board, no bag - after hrs",SF,-
WTR,Water Extraction & remediation,BCN,"Tear out non-salvageable cement board, no bagging",SF,-
WTR,Water Extraction & remediation,BCSN,"Tear out non-salvageable cement board, no bagging - Cat 3",SF,-
WTR,Water Extraction & remediation,CTTLN,"Tear out non-salvageable tile countertop, no bagging",SF,-
WTR,Water Extraction & remediation,FCTS,Tear out non-salvageable tile floor & bag - Cat 3 water,SF,-
WTR,Water Extraction & remediation,FCT,Tear out non-salvageable tile floor & bag for disposal,SF,-
WTR,Water Extraction & remediation,FCTN,"Tear out non-salvageable tile floor, no bagging",SF,-
WTR,Water Extraction & remediation,FCTSN,"Tear out non-salvageable tile floor, no bagging - Cat 3",SF,-
WTR,Water Extraction & remediation,FCTNA,"Tear out non-salvageable tile floor, no bagging- after hrs",SF,-
WTR,Water Extraction & remediation,TILN,"Tear out non-salvageable tile, no bagging",SF,-
WTR,Water Extraction & remediation,FCVT,"Tear out non-salvageable vinyl tile, cut & bag for disp.",SF,-
WTR,Water Extraction & remediation,FCVA,"Tear out non-salvageable vinyl, cut & bag - after hrs",SF,-
WTR,Water Extraction & remediation,FCV,"Tear out non-salvageable vinyl, cut & bag for disposal",SF,-
WTR,Water Extraction & remediation,FCVN,"Tear out non-salvageable vinyl, no bagging",SF,-
WTR,Water Extraction & remediation,FCVNA,"Tear out non-salvageable vinyl, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,BASE>,Tear out oversized or multi-member baseboard,LF,-
WTR,Water Extraction & remediation,BASEA>,Tear out oversized or multi-member baseboard - after hours,LF,-
WTR,Water Extraction & remediation,BASEB>,Tear out oversized/multibase - bag for disp. - up to Cat 3,LF,-
WTR,Water Extraction & remediation,BASEBA>,Tear out oversized/multibase- bag/disp- up to Cat 3 aft hr,LF,-
WTR,Water Extraction & remediation,SF,Tear out subfloor & bag for disposal,SF,-
WTR,Water Extraction & remediation,SFA,Tear out subfloor & bag for disposal - after hrs,SF,-
WTR,Water Extraction & remediation,SFSA,Tear out subfloor & bag for disposal - Cat 3 - aft hrs,SF,-
WTR,Water Extraction & remediation,SFS,Tear out subfloor & bag for disposal - Category 3,SF,-
WTR,Water Extraction & remediation,SFSNA,"Tear out subfloor, no bagging - Cat 3 - aft hrs",SF,-
WTR,Water Extraction & remediation,SFSN,"Tear out subfloor, no bagging - Category 3",SF,-
WTR,Water Extraction & remediation,SFSL,"Tear out subfloor, sleepers & bag for disposal",SF,-
WTR,Water Extraction & remediation,SFSLA,"Tear out subfloor, sleepers & bag for disposal - after hrs",SF,-
WTR,Water Extraction & remediation,SFSLSA,"Tear out subflr, sleepers & bag for disp - Cat 3 - aft hrs",SF,-
WTR,Water Extraction & remediation,SFSLS,"Tear out subflr, sleepers & bag for disposal - Category 3",SF,-
WTR,Water Extraction & remediation,SFSLSNA,"Tear out subflr, sleepers, no bagging - Cat 3 - aft hrs",SF,-
WTR,Water Extraction & remediation,SFSLSN,"Tear out subflr, sleepers, no bagging - Category 3",SF,-
WTR,Water Extraction & remediation,TACKSA,Tear out tackless strip and bag for disp - Cat 3 - aft hrs,LF,-
WTR,Water Extraction & remediation,TACK,Tear out tackless strip and bag for disposal,LF,-
WTR,Water Extraction & remediation,TACKA,Tear out tackless strip and bag for disposal - after hours,LF,-
WTR,Water Extraction & remediation,TACKS,Tear out tackless strip and bag for disposal - Category 3,LF,-
WTR,Water Extraction & remediation,TACKSNA,"Tear out tackless strip, no bagging - Cat 3 - after hrs",LF,-
WTR,Water Extraction & remediation,TACKSN,"Tear out tackless strip, no bagging - Category 3",LF,-
WTR,Water Extraction & remediation,PLYTK,Tear out toe kick and bag for disposal,LF,-
WTR,Water Extraction & remediation,PLYTKA,Tear out toe kick and bag for disposal - after hours,LF,-
WTR,Water Extraction & remediation,PLYTKSA,Tear out toe kick and bag for disposal - Cat 3 - aft hrs,LF,-
WTR,Water Extraction & remediation,PLYTKS,Tear out toe kick and bag for disposal - Category 3,LF,-
WTR,Water Extraction & remediation,PLYTN,"Tear out toe kick, no bagging",LF,-
WTR,Water Extraction & remediation,PLYTNA,"Tear out toe kick, no bagging - after hours",LF,-
WTR,Water Extraction & remediation,PLYTSNA,"Tear out toe kick, no bagging - Cat 3 - aft hrs",LF,-
WTR,Water Extraction & remediation,PLYTSN,"Tear out toe kick, no bagging - Category 3",LF,-
WTR,Water Extraction & remediation,TRI,Tear out trim,LF,-
WTR,Water Extraction & remediation,TRIA,Tear out trim - after hours,LF,-
WTR,Water Extraction & remediation,TRIM,Tear out trim and bag for disposal - up to Cat 3,LF,-
WTR,Water Extraction & remediation,TRIMA,Tear out trim and bag for disposal - up to Cat 3 - aft hrs,LF,-
WTR,Water Extraction & remediation,FCVUVSA,Tear out vinyl & underlay & bag - Cat 3 water - after hrs,SF,-
WTR,Water Extraction & remediation,FCVUVA,"Tear out vinyl & underlay, bag for disp. - after hours",SF,-
WTR,Water Extraction & remediation,FCVUVS,"Tear out vinyl & underlay, bag for disp. - Cat 3 water",SF,-
WTR,Water Extraction & remediation,FCVUSNA,"Tear out vinyl & underlay, no bag - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,FCVUSN,"Tear out vinyl & underlay, no bagging - Cat 3 water",SF,-
WTR,Water Extraction & remediation,PAD,Tear out wet carpet pad and bag for disposal,SF,-
WTR,Water Extraction & remediation,PADA,"Tear out wet carpet pad, cut/bag - after hours",SF,-
WTR,Water Extraction & remediation,PADSA,"Tear out wet carpet pad, cut/bag - Cat 3 wtr - after hours",SF,-
WTR,Water Extraction & remediation,PADS,"Tear out wet carpet pad, cut/bag - Category 3 water",SF,-
WTR,Water Extraction & remediation,PADSNA,"Tear out wet carpet pad, no bag - Cat 3 wtr - after hours",SF,-
WTR,Water Extraction & remediation,PADN,"Tear out wet carpet pad, no bagging",SF,-
WTR,Water Extraction & remediation,PADNA,"Tear out wet carpet pad, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,PADSN,"Tear out wet carpet pad, no bagging - Category 3 water",SF,-
WTR,Water Extraction & remediation,DRYWA,"Tear out wet drywall, cleanup, bag - after hours",SF,-
WTR,Water Extraction & remediation,DRYWS,"Tear out wet drywall, cleanup, bag - Cat 3",SF,-
WTR,Water Extraction & remediation,DRYWSA,"Tear out wet drywall, cleanup, bag - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,DRYW,"Tear out wet drywall, cleanup, bag for disposal",SF,-
WTR,Water Extraction & remediation,DRYWLSA,"Tear out wet drywall, cleanup, bag, LF - 2' Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,DRYW4SA,"Tear out wet drywall, cleanup, bag, LF - 4' Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,DRYWISA,"Tear out wet drywall, cleanup, bag, LF - 4"" Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,DRYWLFA,"Tear out wet drywall, cleanup, bag, per LF - 2' aft hrs",LF,-
WTR,Water Extraction & remediation,DRYW4A,"Tear out wet drywall, cleanup, bag, per LF - 4' aft hrs",LF,-
WTR,Water Extraction & remediation,DRYWIA,"Tear out wet drywall, cleanup, bag, per LF - 4"" aft hrs",LF,-
WTR,Water Extraction & remediation,DRYWLS,"Tear out wet drywall, cleanup, bag, per LF - to 2' - Cat 3",LF,-
WTR,Water Extraction & remediation,DRYW4S,"Tear out wet drywall, cleanup, bag, per LF - to 4' - Cat 3",LF,-
WTR,Water Extraction & remediation,DRYWIS,"Tear out wet drywall, cleanup, bag, per LF - to 4"" - Cat 3",LF,-
WTR,Water Extraction & remediation,DRYWLF,"Tear out wet drywall, cleanup, bag, per LF - up to 2' tall",LF,-
WTR,Water Extraction & remediation,DRYW4,"Tear out wet drywall, cleanup, bag, per LF - up to 4' tall",LF,-
WTR,Water Extraction & remediation,DRYWI,"Tear out wet drywall, cleanup, bag, per LF - up to 4"" tall",LF,-
WTR,Water Extraction & remediation,DRYN,"Tear out wet drywall, no bagging",SF,-
WTR,Water Extraction & remediation,DRYNA,"Tear out wet drywall, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,DRYNS,"Tear out wet drywall, no bagging - Cat 3",SF,-
WTR,Water Extraction & remediation,DRYNSA,"Tear out wet drywall, no bagging - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,DRYNLSA,"Tear out wet drywall, no bagging, LF - 2' Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,DRYN4SA,"Tear out wet drywall, no bagging, LF - 4' Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,DRYNISA,"Tear out wet drywall, no bagging, LF - 4"" Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,DRYNLFA,"Tear out wet drywall, no bagging, per LF - 2' aft hrs",LF,-
WTR,Water Extraction & remediation,DRYN4A,"Tear out wet drywall, no bagging, per LF - 4' aft hrs",LF,-
WTR,Water Extraction & remediation,DRYNIA,"Tear out wet drywall, no bagging, per LF - 4"" aft hrs",LF,-
WTR,Water Extraction & remediation,DRYNLS,"Tear out wet drywall, no bagging, per LF - to 2' - Cat 3",LF,-
WTR,Water Extraction & remediation,DRYN4S,"Tear out wet drywall, no bagging, per LF - to 4' - Cat 3",LF,-
WTR,Water Extraction & remediation,DRYNIS,"Tear out wet drywall, no bagging, per LF - to 4"" - Cat 3",LF,-
WTR,Water Extraction & remediation,DRYNLF,"Tear out wet drywall, no bagging, per LF - up to 2' tall",LF,-
WTR,Water Extraction & remediation,DRYN4,"Tear out wet drywall, no bagging, per LF - up to 4' tall",LF,-
WTR,Water Extraction & remediation,DRYNI,"Tear out wet drywall, no bagging, per LF - up to 4"" tall",LF,-
WTR,Water Extraction & remediation,INSCSNA,"Tear out wet insul. conf space, no bagging- Cat 3- aft hrs",SF,-
WTR,Water Extraction & remediation,INSCNA,"Tear out wet insul. confined space, no bagging - aft hrs",SF,-
WTR,Water Extraction & remediation,INSCSN,"Tear out wet insul. in confined space, no bagging - Cat 3",SF,-
WTR,Water Extraction & remediation,INSCN,"Tear out wet insulation in confined space, no bagging",SF,-
WTR,Water Extraction & remediation,INSN,"Tear out wet insulation, no bagging",SF,-
WTR,Water Extraction & remediation,INSNA,"Tear out wet insulation, no bagging - after hours",SF,-
WTR,Water Extraction & remediation,INSSNA,"Tear out wet insulation, no bagging - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,INSSN,"Tear out wet insulation, no bagging - Category 3 water",SF,-
WTR,Water Extraction & remediation,INSNLSA,"Tear out wet insulation, no bagging, LF - 2' Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,INSN4SA,"Tear out wet insulation, no bagging, LF - 4' Cat 3 aft hrs",LF,-
WTR,Water Extraction & remediation,INSNLS,"Tear out wet insulation, no bagging, per LF - 2' - Cat 3",LF,-
WTR,Water Extraction & remediation,INSNLFA,"Tear out wet insulation, no bagging, per LF - 2' after hrs",LF,-
WTR,Water Extraction & remediation,INSN4S,"Tear out wet insulation, no bagging, per LF - 4' - Cat 3",LF,-
WTR,Water Extraction & remediation,INSN4A,"Tear out wet insulation, no bagging, per LF - 4' after hrs",LF,-
WTR,Water Extraction & remediation,INSNLF,"Tear out wet insulation, no bagging, per LF - to 2' tall",LF,-
WTR,Water Extraction & remediation,INSN4,"Tear out wet insulation, no bagging, per LF - to 4' tall",LF,-
WTR,Water Extraction & remediation,FCCSA,"Tear out wet non-salv. cpt, cut/bag-Cat 3 wtr - after hrs",SF,-
WTR,Water Extraction & remediation,FCCSNA,"Tear out wet non-salv. cpt, no bag- Cat 3 wtr - after hrs",SF,-
WTR,Water Extraction & remediation,FCCGSN,"Tear out wet non-salv. glue down cpt, no bag - Cat 3 water",SF,-
WTR,Water Extraction & remediation,FCCGDS,"Tear out wet non-salv. gluedn. cpt, cut/bag - Cat 3 water",SF,-
WTR,Water Extraction & remediation,FCCGDA,"Tear out wet non-salv. gluedn. cpt, cut/bag- after hours",SF,-
WTR,Water Extraction & remediation,FCCGDNA,"Tear out wet non-salv. gluedn. cpt, no bag - after hours",SF,-
WTR,Water Extraction & remediation,FCCGDSA,"Tear out wet non-salv.gluedn.cpt,cut/bg-Cat 3 wtr-aft. hrs",SF,-
WTR,Water Extraction & remediation,FCCGSNA,"Tear out wet non-salv.gluedn.cpt,no bag-Cat 3 wtr-aft. hrs",SF,-
WTR,Water Extraction & remediation,FCCNA,"Tear out wet non-salvage carpet, no bag - after hours",SF,-
WTR,Water Extraction & remediation,FCCA,"Tear out wet non-salvage cpt, cut/bag - after hours",SF,-
WTR,Water Extraction & remediation,FCC,"Tear out wet non-salvageable carpet, cut & bag for disp.",SF,-
WTR,Water Extraction & remediation,FCCS,"Tear out wet non-salvageable carpet, cut/bag - Cat 3 water",SF,-
WTR,Water Extraction & remediation,FCCSN,"Tear out wet non-salvageable carpet, no bag - Cat 3 water",SF,-
WTR,Water Extraction & remediation,FCCN,"Tear out wet non-salvageable carpet, no bagging",SF,-
WTR,Water Extraction & remediation,FCCGD,"Tear out wet non-salvageable glue down carpet, cut/bag",SF,-
WTR,Water Extraction & remediation,FCCGDN,"Tear out wet non-salvageable glue down carpet, no bagging",SF,-
WTR,Water Extraction & remediation,PNLSA,"Tear out wet paneling, bag for disp. - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,PNL,"Tear out wet paneling, bag for disposal",SF,-
WTR,Water Extraction & remediation,PNLA,"Tear out wet paneling, bag for disposal - after hours",SF,-
WTR,Water Extraction & remediation,PNLS,"Tear out wet paneling, bag for disposal - Cat 3",SF,-
WTR,Water Extraction & remediation,PNLSN,"Tear out wet paneling, no bagging - Cat 3",SF,-
WTR,Water Extraction & remediation,PNLSNA,"Tear out wet paneling, no bagging - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,PLAA,"Tear out wet plaster, cleanup, bag - after hours",SF,-
WTR,Water Extraction & remediation,PLASA,"Tear out wet plaster, cleanup, bag - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,PLAS,"Tear out wet plaster, cleanup, bag - Category 3 water",SF,-
WTR,Water Extraction & remediation,PLA,"Tear out wet plaster, cleanup, bag for disposal",SF,-
WTR,Water Extraction & remediation,PLASNA,"Tear out wet plaster, no bagging - Cat 3 - after hours",SF,-
WTR,Water Extraction & remediation,PLASN,"Tear out wet plaster, no bagging - Category 3 water",SF,-
WTR,Water Extraction & remediation,SSWR,Temporary safety shower,EA,+
WTR,Water Extraction & remediation,THERM,Thermal imaging - (Bid Item),EA,+
WTR,Water Extraction & remediation,TLTD,Toilet - Detach,EA,+
WTR,Water Extraction & remediation,TLTDA,Toilet - Detach - after hours,EA,+
WTR,Water Extraction & remediation,DHMDT2K,Trailer-mount dehumidifier - 2000 CFM- per 24 hr,EA,+
WTR,Water Extraction & remediation,TRAN,Transport carpet for drying,SF,+
WTR,Water Extraction & remediation,TRID,Trim - Detach,LF,+
WTR,Water Extraction & remediation,TRIDA,Trim - Detach - after hours,LF,+
WTR,Water Extraction & remediation,WALLD,Wall cavity drying-Dctd type (per 24 hr period) No monit.,DA,+
WTR,Water Extraction & remediation,WALL,Wall cavity drying-Inj. type (per 24 hr period) No monit.,DA,+
WTR,Water Extraction & remediation,WSHD,Washer/Washing machine - Detach,EA,+
WTR,Water Extraction & remediation,WSHDA,Washer/Washing machine - Detach - after hours,EA,+
WTR,Water Extraction & remediation,EXTSA+,Water extract carpeted floor - Cat 3 wtr- Hvy- after hours,SF,+
WTR,Water Extraction & remediation,EXTGA+,Water extract carpeted flr - Cat 2 wtr - Heavy- after hrs,SF,+
WTR,Water Extraction & remediation,EXTGA,Water extract from carpeted floor - Cat 2 wtr- after hours,SF,+
WTR,Water Extraction & remediation,EXTSA,Water extract from carpeted floor - Cat 3 wtr- after hours,SF,+
WTR,Water Extraction & remediation,EXTHSA,Water extract from hard surf flr - Cat 3 wtr - after hours,SF,+
WTR,Water Extraction & remediation,EXTHGA,Water extract from hrd surf flr - Cat 2 wtr - after hours,SF,+
WTR,Water Extraction & remediation,MISC,WATER EXTRACTION & REMEDIATION,,+
WTR,Water Extraction & remediation,MN,Water Extraction & Remediation - Labor Minimum,EA,+
WTR,Water Extraction & remediation,AGP,Water Extraction & Remediation (Agreed Price),EA,+
WTR,Water Extraction & remediation,BIDITM,Water Extraction & Remediation (Bid Item),EA,+
WTR,Water Extraction & remediation,PDB,Water Extraction & Remediation (Paid Bill),EA,+
WTR,Water Extraction & remediation,LABA,Water Extraction & Remediation Technician - after hours,HR,+
WTR,Water Extraction & remediation,LAB,Water Extraction & Remediation Technician - per hour,HR,+
WTR,Water Extraction & remediation,EXTWA,Water extraction floor - Weight-assisted - after hours,SF,+
WTR,Water Extraction & remediation,EXT,Water extraction from carpeted floor,SF,+
WTR,Water Extraction & remediation,EXTG+,Water extraction from carpeted floor - Cat 2 water - Heavy,SF,+
