Xact CAT, Xact Category Name,Xact SEL,Xact Description,Xact Unit,Xact Activity
WTR,Water Extraction & remediation,CABLDS,Cabinet - lower (base) unit w/shoring - Detach,LF,+
WTR,Water Extraction & remediation,CABLDSA,Cabinet - lower (base) unit w/shoring - Detach - after hrs,LF,+
WTR,Water Extraction & remediation,CABUPD,Cabinet - upper (wall) unit - Detach,LF,+
WTR,Water Extraction & remediation,CABUPDA,Cabinet - upper (wall) unit - Detach - after hours,LF,+
WTR,Water Extraction & remediation,CABVCD,Cabinet - vanity and countertop - Detach,LF,+
WTR,Water Extraction & remediation,CABVCDA,Cabinet - vanity and countertop - Detach - after hours,LF,+
WTR,Water Extraction & remediation,CABVND,Cabinet - vanity unit - Detach,LF,+
WTR,Water Extraction & remediation,CABVNDA,Cabinet - vanity unit - Detach - after hours,LF,+
WTR,Water Extraction & remediation,CALC,Calcium Chloride moisture test - per sample,EA,+
WTR,Water Extraction & remediation,FLVAP,"Carbon vapor filter (for air scrubber) - 16"" x 16""",EA,+
WTR,Water Extraction & remediation,FLVAP>,"Carbon vapor filter (for air scrubber) - 24"" x 24""",EA,+
WTR,Water Extraction & remediation,FLCHM,"Chemical gas and odor neutralization cartridge - 16"" x 16""",EA,+
WTR,Water Extraction & remediation,FLCHM>,"Chemical gas and odor neutralization cartridge - 24"" x 24""",EA,+
WTR,Water Extraction & remediation,LABSA,Cleaning & Remediation - Supervisory - after hours,HR,+
WTR,Water Extraction & remediation,LABS,Cleaning & Remediation - Supervisory - per hr,HR,+
WTR,Water Extraction & remediation,LABCA,Cleaning Technician - after hours,HR,+
WTR,Water Extraction & remediation,LABC,Cleaning Technician - per hour,HR,+
WTR,Water Extraction & remediation,BARRF,Containment Barrier - air filter,EA,+
WTR,Water Extraction & remediation,BARRFA,Containment Barrier - air filter - after hours,EA,+
WTR,Water Extraction & remediation,BARRP,Containment Barrier - tension post (per day),DA,+
WTR,Water Extraction & remediation,BARR,Containment Barrier/Airlock/Decon. Chamber,SF,+
WTR,Water Extraction & remediation,BARRA,Containment Barrier/Airlock/Decon. Chamber - after hours,SF,+
WTR,Water Extraction & remediation,EXTDMP,Contaminated water dump fee - (Bid Item),EA,+
WTR,Water Extraction & remediation,TEST,Contamination - air or surface testing & lab analysis,EA,+
WTR,Water Extraction & remediation,TESTATP,Contamination - on-site ATP testing,EA,+
WTR,Water Extraction & remediation,TEST+,Contamination - pre & post test - full service (Bid Item),EA,+
WTR,Water Extraction & remediation,CTFLDA,Countertop - flat laid plastic lam. - Detach - after hours,LF,+
WTR,Water Extraction & remediation,CTFLD,Countertop - flat laid plastic laminate - Detach,LF,+
WTR,Water Extraction & remediation,CTPFDA,Countertop - post formed plastic lam. - Detach - after hrs,LF,+
WTR,Water Extraction & remediation,CTPFD,Countertop - post formed plastic laminate - Detach,LF,+
WTR,Water Extraction & remediation,CTSSD,Countertop - solid surface/granite - Detach,SF,+
WTR,Water Extraction & remediation,CTSSDA,Countertop - solid surface/granite - Detach - after hours,SF,+
WTR,Water Extraction & remediation,DHMDT3K,Dehumidifier - Desiccant -3000-4000 CFM No monit.-per 24hr,EA,+
WTR,Water Extraction & remediation,DHMDT5K,Dehumidifier - Desiccant -4500-7500 CFM No monit.-per 24hr,EA,+
WTR,Water Extraction & remediation,DHMDT9K,Dehumidifier - Desiccant-8500-15000 CFM No monit.-per 24hr,EA,+
WTR,Water Extraction & remediation,DHMD,Dehumidifier (per 24 hour period) - Desiccant - No monit.,EA,+
WTR,Water Extraction & remediation,DHM>>>,Dehumidifier (per 24 hr period) - 160+ ppd - No monitor.,EA,+
WTR,Water Extraction & remediation,DHM>,Dehumidifier (per 24 hr period) - 70-109 ppd - No monitor.,EA,+
WTR,Water Extraction & remediation,DHMD>,Dehumidifier (per 24 hr period) -Large-Desiccant-No monit.,EA,+
WTR,Water Extraction & remediation,DHMD<,Dehumidifier (per 24 hr period) -Small-Desiccant-No monit.,EA,+
WTR,Water Extraction & remediation,DHM>>,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,EA,+
WTR,Water Extraction & remediation,DHM,Dehumidifier (per 24 hr period)- up to 69 ppd- No monitor.,EA,+
WTR,Water Extraction & remediation,DHMB,Dehumidifier booster (per 24 hour period) - No monitoring,EA,+
WTR,Water Extraction & remediation,DHMAC,Dehumidifier w/environmental control - per 24 hrs,EA,+
WTR,Water Extraction & remediation,DISC,Discounts (Bid Item),EA,+
WTR,Water Extraction & remediation,DWD,Dishwasher - Detach,EA,+
WTR,Water Extraction & remediation,DWDA,Dishwasher - Detach - after hours,EA,+
WTR,Water Extraction & remediation,PPER,Disposable rain suit,EA,+
WTR,Water Extraction & remediation,DOPT,DOP test/inspection - per piece of equipment,EA,+
WTR,Water Extraction & remediation,WALLH,Drill holes for wall cavity drying,EA,+
WTR,Water Extraction & remediation,WALLHA,Drill holes for wall cavity drying - after hrs,EA,+
WTR,Water Extraction & remediation,SBIFSH,Dry ice blast exposed framing w/sheathing - Floor (PER SF),SF,+
WTR,Water Extraction & remediation,SBIWSH,Dry ice blast exposed framing w/sheathing - Walls (PER SF),SF,+
WTR,Water Extraction & remediation,SBIF,Dry ice blasting exposed framing - Floor (PER SF),SF,+
WTR,Water Extraction & remediation,SBIW,Dry ice blasting exposed framing - Walls (PER SF),SF,+
